State,Date,Vegetable_Id ,Vegetable_Name ,Wholesale_Price ,Retail_Price ,Shoping_Mall_Price ,Units ,Image
,2024-05-01,mushroom,Mushroom,91,105 - 116,109 - 150,1kg,"{'vegetableHeight': 83, 'vegetableWidth': 64, 'vegetableTop': 3338}"
,2024-05-01,mustardleaves,Mustard Leaves,15,17 - 19,18 - 25,1kg,"{'vegetableHeight': 88, 'vegetableWidth': 64, 'vegetableTop': 3421}"
,2024-05-01,ladiesfinger,Ladies Finger,37,43 - 47,44 - 61,1kg,"{'vegetableHeight': 92, 'vegetableWidth': 64, 'vegetableTop': 3509}"
,2024-05-01,pumpkin,Pumpkin,23,26 - 29,28 - 38,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 65, 'vegetableTop': 3601}"
,2024-05-01,radish,Radish,27,31 - 34,32 - 45,1kg,"{'vegetableHeight': 88, 'vegetableWidth': 64, 'vegetableTop': 3665}"
,2024-05-01,ridgegourd,Ridge Gourd,34,39 - 43,41 - 56,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 138, 'vegetableTop': 3753}"
,2024-05-01,shallot,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,"{'vegetableHeight': 68, 'vegetableWidth': 64, 'vegetableTop': 3817}"
,2024-05-01,snakegourd,Snake Gourd,25,29 - 32,30 - 41,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 139, 'vegetableTop': 3885}"
,2024-05-01,sorrelleaves,Sorrel Leaves,12,14 - 15,14 - 20,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 79, 'vegetableTop': 3949}"
,2024-05-01,spinach,Spinach,15,17 - 19,18 - 25,1kg,"{'vegetableHeight': 69, 'vegetableWidth': 64, 'vegetableTop': 4013}"
,2024-05-01,sweetpotato,Sweet Potato,36,41 - 46,43 - 59,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 103, 'vegetableTop': 4082}"
,2024-05-02,onionbig,Onion Big,25,29 - 32,30 - 41,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 64, 'vegetableTop': 0}"
,2024-05-02,onionsmall,Onion Small,32,37 - 41,38 - 53,1kg,"{'vegetableHeight': 60, 'vegetableWidth': 64, 'vegetableTop': 64}"
,2024-05-02,tomato,Tomato,26,30 - 33,31 - 43,1kg,"{'vegetableHeight': 50, 'vegetableWidth': 64, 'vegetableTop': 124}"
,2024-05-02,greenchili,Green Chilli,43,49 - 55,52 - 71,1kg,"{'vegetableHeight': 69, 'vegetableWidth': 64, 'vegetableTop': 174}"
,2024-05-02,beetroot,Beetroot,34,39 - 43,41 - 56,1kg,"{'vegetableHeight': 93, 'vegetableWidth': 64, 'vegetableTop': 243}"
,2024-05-02,potato,Potato,30,35 - 38,36 - 50,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 90, 'vegetableTop': 400}"
,2024-05-02,plantain,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 97, 'vegetableTop': 336}"
,2024-05-02,amaranthleaves,Amaranth Leaves,15,17 - 19,18 - 25,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 78, 'vegetableTop': 613}"
,2024-05-02,amla,Amla,70,81 - 89,84 - 116,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 88, 'vegetableTop': 677}"
,2024-05-02,ashgourd,Ash gourd,16,18 - 20,19 - 26,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 109, 'vegetableTop': 741}"
,2024-05-02,babycorn,Baby Corn,50,58 - 64,60 - 83,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 100, 'vegetableTop': 805}"
,2024-05-02,bananaflower,Banana Flower,20,23 - 25,24 - 33,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 107, 'vegetableTop': 869}"
,2024-05-02,capsicum,Capsicum,49,56 - 62,59 - 81,1kg,"{'vegetableHeight': 81, 'vegetableWidth': 64, 'vegetableTop': 933}"
,2024-05-02,bittergourd,Bitter Gourd,32,37 - 41,38 - 53,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 87, 'vegetableTop': 1101}"
,2024-05-02,bottlegourd,Bottle Gourd,24,28 - 30,29 - 40,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 64, 'vegetableTop': 1165}"
,2024-05-02,butterbeans,Butter Beans,49,56 - 62,59 - 81,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 82, 'vegetableTop': 1229}"
,2024-05-02,broadbeans,Broad Beans,27,31 - 34,32 - 45,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 96, 'vegetableTop': 1293}"
,2024-05-02,cabbage,Cabbage,22,25 - 28,26 - 36,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 70, 'vegetableTop': 1357}"
,2024-05-02,carrot,Carrot,44,51 - 56,53 - 73,1kg,"{'vegetableHeight': 85, 'vegetableWidth': 64, 'vegetableTop': 464}"
,2024-05-02,cauliflower,Cauliflower,26,30 - 33,31 - 43,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 71, 'vegetableTop': 1421}"
,2024-05-02,clusterbeans,Cluster beans,42,48 - 53,50 - 69,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 85, 'vegetableTop': 1485}"
,2024-05-02,coconut,Coconut,34,39 - 43,41 - 56,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 77, 'vegetableTop': 1549}"
,2024-05-02,colocasialeaves,Colocasia Leaves,16,18 - 20,19 - 26,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 79, 'vegetableTop': 1613}"
,2024-05-02,colocasia,Colocasia,26,30 - 33,31 - 43,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 96, 'vegetableTop': 1677}"
,2024-05-02,corianderleaves,Coriander Leaves,8,9 - 10,10 - 13,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 56, 'vegetableTop': 1741}"
,2024-05-02,corn,Corn,27,31 - 34,32 - 45,1kg,"{'vegetableHeight': 111, 'vegetableWidth': 64, 'vegetableTop': 1805}"
,2024-05-02,cucumber,Cucumber,27,31 - 34,32 - 45,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 92, 'vegetableTop': 1916}"
,2024-05-02,curryleaves,Curry Leaves,29,33 - 37,35 - 48,1kg,"{'vegetableHeight': 81, 'vegetableWidth': 64, 'vegetableTop': 1980}"
,2024-05-02,dillleaves,Dill Leaves,13,15 - 17,16 - 21,1kg,"{'vegetableHeight': 77, 'vegetableWidth': 64, 'vegetableTop': 2061}"
,2024-05-02,drumsticks,Drumsticks,40,46 - 51,48 - 66,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 87, 'vegetableTop': 2138}"
,2024-05-02,brinjal,Brinjal,24,28 - 30,29 - 40,1kg,"{'vegetableHeight': 86, 'vegetableWidth': 64, 'vegetableTop': 2202}"
,2024-05-02,brinjalbig,Brinjal (Big),26,30 - 33,31 - 43,1kg,"{'vegetableHeight': 71, 'vegetableWidth': 64, 'vegetableTop': 2288}"
,2024-05-02,elephantyam,Elephant Yam,27,31 - 34,32 - 45,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 86, 'vegetableTop': 2423}"
,2024-05-02,fenugreekleaves,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 91, 'vegetableTop': 2551}"
,2024-05-02,frenchbeans,French Beans,51,59 - 65,61 - 84,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 97, 'vegetableTop': 2615}"
,2024-05-02,garlic,Garlic,156,179 - 198,187 - 257,1kg,"{'vegetableHeight': 68, 'vegetableWidth': 64, 'vegetableTop': 2679}"
,2024-05-02,ginger,Ginger,116,133 - 147,139 - 191,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 71, 'vegetableTop': 549}"
,2024-05-02,oniongreen,Onion Green,45,52 - 57,54 - 74,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 104, 'vegetableTop': 2815}"
,2024-05-02,greenpeas,Green Peas,42,48 - 53,50 - 69,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 84, 'vegetableTop': 2943}"
,2024-05-02,ivygourd,Ivy Gourd,24,28 - 30,29 - 40,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 96, 'vegetableTop': 3007}"
,2024-05-02,lemon,Lemon (Lime),63,72 - 80,76 - 104,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 72, 'vegetableTop': 3071}"
,2024-05-02,mangoraw,Mango Raw,26,30 - 33,31 - 43,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 73, 'vegetableTop': 3210}"
,2024-05-02,mintleaves,Mint Leaves,5,6 - 6,6 - 8,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 101, 'vegetableTop': 3274}"
,2024-05-02,mushroom,Mushroom,91,105 - 116,109 - 150,1kg,"{'vegetableHeight': 83, 'vegetableWidth': 64, 'vegetableTop': 3338}"
,2024-05-02,mustardleaves,Mustard Leaves,15,17 - 19,18 - 25,1kg,"{'vegetableHeight': 88, 'vegetableWidth': 64, 'vegetableTop': 3421}"
,2024-05-02,ladiesfinger,Ladies Finger,37,43 - 47,44 - 61,1kg,"{'vegetableHeight': 92, 'vegetableWidth': 64, 'vegetableTop': 3509}"
,2024-05-02,pumpkin,Pumpkin,23,26 - 29,28 - 38,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 65, 'vegetableTop': 3601}"
,2024-05-02,radish,Radish,27,31 - 34,32 - 45,1kg,"{'vegetableHeight': 88, 'vegetableWidth': 64, 'vegetableTop': 3665}"
,2024-05-02,ridgegourd,Ridge Gourd,34,39 - 43,41 - 56,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 138, 'vegetableTop': 3753}"
,2024-05-02,shallot,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,"{'vegetableHeight': 68, 'vegetableWidth': 64, 'vegetableTop': 3817}"
,2024-05-02,snakegourd,Snake Gourd,25,29 - 32,30 - 41,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 139, 'vegetableTop': 3885}"
,2024-05-02,sorrelleaves,Sorrel Leaves,12,14 - 15,14 - 20,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 79, 'vegetableTop': 3949}"
,2024-05-02,spinach,Spinach,15,17 - 19,18 - 25,1kg,"{'vegetableHeight': 69, 'vegetableWidth': 64, 'vegetableTop': 4013}"
,2024-05-02,sweetpotato,Sweet Potato,36,41 - 46,43 - 59,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 103, 'vegetableTop': 4082}"
,2024-05-03,onionbig,Onion Big,25,29 - 32,30 - 41,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 64, 'vegetableTop': 0}"
,2024-05-03,onionsmall,Onion Small,32,37 - 41,38 - 53,1kg,"{'vegetableHeight': 60, 'vegetableWidth': 64, 'vegetableTop': 64}"
,2024-05-03,tomato,Tomato,26,30 - 33,31 - 43,1kg,"{'vegetableHeight': 50, 'vegetableWidth': 64, 'vegetableTop': 124}"
,2024-05-03,greenchili,Green Chilli,43,49 - 55,52 - 71,1kg,"{'vegetableHeight': 69, 'vegetableWidth': 64, 'vegetableTop': 174}"
,2024-05-03,beetroot,Beetroot,34,39 - 43,41 - 56,1kg,"{'vegetableHeight': 93, 'vegetableWidth': 64, 'vegetableTop': 243}"
,2024-05-03,potato,Potato,30,35 - 38,36 - 50,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 90, 'vegetableTop': 400}"
,2024-05-03,plantain,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 97, 'vegetableTop': 336}"
,2024-05-03,amaranthleaves,Amaranth Leaves,15,17 - 19,18 - 25,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 78, 'vegetableTop': 613}"
,2024-05-03,amla,Amla,70,81 - 89,84 - 116,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 88, 'vegetableTop': 677}"
,2024-05-03,ashgourd,Ash gourd,16,18 - 20,19 - 26,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 109, 'vegetableTop': 741}"
,2024-05-03,babycorn,Baby Corn,50,58 - 64,60 - 83,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 100, 'vegetableTop': 805}"
,2024-05-03,bananaflower,Banana Flower,20,23 - 25,24 - 33,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 107, 'vegetableTop': 869}"
,2024-05-03,capsicum,Capsicum,49,56 - 62,59 - 81,1kg,"{'vegetableHeight': 81, 'vegetableWidth': 64, 'vegetableTop': 933}"
,2024-05-03,bittergourd,Bitter Gourd,32,37 - 41,38 - 53,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 87, 'vegetableTop': 1101}"
,2024-05-03,bottlegourd,Bottle Gourd,24,28 - 30,29 - 40,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 64, 'vegetableTop': 1165}"
,2024-05-03,butterbeans,Butter Beans,49,56 - 62,59 - 81,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 82, 'vegetableTop': 1229}"
,2024-05-03,broadbeans,Broad Beans,27,31 - 34,32 - 45,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 96, 'vegetableTop': 1293}"
,2024-05-03,cabbage,Cabbage,22,25 - 28,26 - 36,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 70, 'vegetableTop': 1357}"
,2024-05-03,carrot,Carrot,44,51 - 56,53 - 73,1kg,"{'vegetableHeight': 85, 'vegetableWidth': 64, 'vegetableTop': 464}"
,2024-05-03,cauliflower,Cauliflower,26,30 - 33,31 - 43,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 71, 'vegetableTop': 1421}"
,2024-05-03,clusterbeans,Cluster beans,42,48 - 53,50 - 69,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 85, 'vegetableTop': 1485}"
,2024-05-03,coconut,Coconut,34,39 - 43,41 - 56,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 77, 'vegetableTop': 1549}"
,2024-05-03,colocasialeaves,Colocasia Leaves,16,18 - 20,19 - 26,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 79, 'vegetableTop': 1613}"
,2024-05-03,colocasia,Colocasia,26,30 - 33,31 - 43,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 96, 'vegetableTop': 1677}"
,2024-05-03,corianderleaves,Coriander Leaves,8,9 - 10,10 - 13,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 56, 'vegetableTop': 1741}"
,2024-05-03,corn,Corn,27,31 - 34,32 - 45,1kg,"{'vegetableHeight': 111, 'vegetableWidth': 64, 'vegetableTop': 1805}"
,2024-05-03,cucumber,Cucumber,27,31 - 34,32 - 45,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 92, 'vegetableTop': 1916}"
,2024-05-03,curryleaves,Curry Leaves,29,33 - 37,35 - 48,1kg,"{'vegetableHeight': 81, 'vegetableWidth': 64, 'vegetableTop': 1980}"
,2024-05-03,dillleaves,Dill Leaves,13,15 - 17,16 - 21,1kg,"{'vegetableHeight': 77, 'vegetableWidth': 64, 'vegetableTop': 2061}"
,2024-05-03,drumsticks,Drumsticks,40,46 - 51,48 - 66,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 87, 'vegetableTop': 2138}"
,2024-05-03,brinjal,Brinjal,24,28 - 30,29 - 40,1kg,"{'vegetableHeight': 86, 'vegetableWidth': 64, 'vegetableTop': 2202}"
,2024-05-03,brinjalbig,Brinjal (Big),26,30 - 33,31 - 43,1kg,"{'vegetableHeight': 71, 'vegetableWidth': 64, 'vegetableTop': 2288}"
,2024-05-03,elephantyam,Elephant Yam,27,31 - 34,32 - 45,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 86, 'vegetableTop': 2423}"
,2024-05-03,fenugreekleaves,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 91, 'vegetableTop': 2551}"
,2024-05-03,frenchbeans,French Beans,51,59 - 65,61 - 84,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 97, 'vegetableTop': 2615}"
,2024-05-03,garlic,Garlic,156,179 - 198,187 - 257,1kg,"{'vegetableHeight': 68, 'vegetableWidth': 64, 'vegetableTop': 2679}"
,2024-05-03,ginger,Ginger,116,133 - 147,139 - 191,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 71, 'vegetableTop': 549}"
,2024-05-03,oniongreen,Onion Green,45,52 - 57,54 - 74,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 104, 'vegetableTop': 2815}"
,2024-05-03,greenpeas,Green Peas,42,48 - 53,50 - 69,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 84, 'vegetableTop': 2943}"
,2024-05-03,ivygourd,Ivy Gourd,24,28 - 30,29 - 40,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 96, 'vegetableTop': 3007}"
,2024-05-03,lemon,Lemon (Lime),63,72 - 80,76 - 104,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 72, 'vegetableTop': 3071}"
,2024-05-03,mangoraw,Mango Raw,26,30 - 33,31 - 43,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 73, 'vegetableTop': 3210}"
,2024-05-03,mintleaves,Mint Leaves,5,6 - 6,6 - 8,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 101, 'vegetableTop': 3274}"
,2024-05-03,mushroom,Mushroom,91,105 - 116,109 - 150,1kg,"{'vegetableHeight': 83, 'vegetableWidth': 64, 'vegetableTop': 3338}"
,2024-05-03,mustardleaves,Mustard Leaves,15,17 - 19,18 - 25,1kg,"{'vegetableHeight': 88, 'vegetableWidth': 64, 'vegetableTop': 3421}"
,2024-05-03,ladiesfinger,Ladies Finger,37,43 - 47,44 - 61,1kg,"{'vegetableHeight': 92, 'vegetableWidth': 64, 'vegetableTop': 3509}"
,2024-05-03,pumpkin,Pumpkin,23,26 - 29,28 - 38,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 65, 'vegetableTop': 3601}"
,2024-05-03,radish,Radish,27,31 - 34,32 - 45,1kg,"{'vegetableHeight': 88, 'vegetableWidth': 64, 'vegetableTop': 3665}"
,2024-05-03,ridgegourd,Ridge Gourd,34,39 - 43,41 - 56,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 138, 'vegetableTop': 3753}"
,2024-05-03,shallot,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,"{'vegetableHeight': 68, 'vegetableWidth': 64, 'vegetableTop': 3817}"
,2024-05-03,snakegourd,Snake Gourd,25,29 - 32,30 - 41,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 139, 'vegetableTop': 3885}"
,2024-05-03,sorrelleaves,Sorrel Leaves,12,14 - 15,14 - 20,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 79, 'vegetableTop': 3949}"
,2024-05-03,spinach,Spinach,15,17 - 19,18 - 25,1kg,"{'vegetableHeight': 69, 'vegetableWidth': 64, 'vegetableTop': 4013}"
,2024-05-03,sweetpotato,Sweet Potato,36,41 - 46,43 - 59,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 103, 'vegetableTop': 4082}"
,2024-05-04,onionbig,Onion Big,25,29 - 32,30 - 41,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 64, 'vegetableTop': 0}"
,2024-05-04,onionsmall,Onion Small,32,37 - 41,38 - 53,1kg,"{'vegetableHeight': 60, 'vegetableWidth': 64, 'vegetableTop': 64}"
,2024-05-04,tomato,Tomato,26,30 - 33,31 - 43,1kg,"{'vegetableHeight': 50, 'vegetableWidth': 64, 'vegetableTop': 124}"
,2024-05-04,greenchili,Green Chilli,43,49 - 55,52 - 71,1kg,"{'vegetableHeight': 69, 'vegetableWidth': 64, 'vegetableTop': 174}"
,2024-05-04,beetroot,Beetroot,34,39 - 43,41 - 56,1kg,"{'vegetableHeight': 93, 'vegetableWidth': 64, 'vegetableTop': 243}"
,2024-05-04,potato,Potato,30,35 - 38,36 - 50,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 90, 'vegetableTop': 400}"
,2024-05-04,plantain,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 97, 'vegetableTop': 336}"
,2024-05-04,amaranthleaves,Amaranth Leaves,15,17 - 19,18 - 25,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 78, 'vegetableTop': 613}"
,2024-05-04,amla,Amla,70,81 - 89,84 - 116,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 88, 'vegetableTop': 677}"
,2024-05-04,ashgourd,Ash gourd,16,18 - 20,19 - 26,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 109, 'vegetableTop': 741}"
